wip,incentive,quarter,department,day  ,team,targeted_productivity,smv,over_time,no_of_style_change,actual_productivity
5.7694569895429915,9.899494936611665,0.0,3.0,0.0,8.0,0.8,26.16,7080.0,0.0,0.940725424
6.079151044353975,0.0,1.0,3.0,0.0,1.0,0.75,3.94,960.0,0.0,0.8865
5.577875793902916,7.0710678118654755,0.0,3.0,0.0,11.0,0.8,11.41,3660.0,0.0,0.8005704920000001
5.577875793902916,7.0710678118654755,0.0,3.0,0.0,12.0,0.8,11.41,3660.0,0.0,0.8005704920000001
5.84852654546204,7.0710678118654755,0.0,3.0,0.0,6.0,0.8,25.9,1920.0,0.0,0.8003819440000001
5.600783363308765,6.164414002968976,0.0,3.0,0.0,7.0,0.8,25.9,6720.0,0.0,0.800125
5.83998736500234,0.0,1.0,3.0,0.0,2.0,0.75,3.94,960.0,0.0,0.755166667
5.309966512111293,6.708203932499369,0.0,3.0,0.0,3.0,0.75,28.08,6900.0,0.0,0.753683478
5.203265584357747,5.830951894845301,0.0,3.0,0.0,2.0,0.75,19.87,6000.0,0.0,0.753097531
5.1084221342210725,6.708203932499369,0.0,3.0,0.0,1.0,0.75,28.08,6900.0,0.0,0.7504278259999999
5.4341187068803345,6.6332495807108,0.0,3.0,0.0,9.0,0.7,28.08,6900.0,0.0,0.7211269570000001
4.9032265458922675,6.708203932499369,0.0,3.0,0.0,10.0,0.75,19.31,6480.0,0.0,0.712205247
5.083866242009144,7.0710678118654755,0.0,3.0,0.0,5.0,0.8,11.41,3660.0,0.0,0.7070459020000001
5.74221144499523,0.0,1.0,3.0,0.0,10.0,0.65,3.94,960.0,0.0,0.705916667
5.6816913138391,0.0,1.0,3.0,0.0,8.0,0.75,2.9,960.0,0.0,0.676666667
5.4971091810812585,0.0,1.0,3.0,0.0,4.0,0.75,3.94,2160.0,0.0,0.593055556
5.3713953792170726,0.0,1.0,3.0,0.0,7.0,0.8,2.9,960.0,0.0,0.5407291670000001
5.416899620838697,0.0,0.0,3.0,0.0,4.0,0.65,23.69,7200.0,0.0,0.52118
5.0903222190768584,0.0,1.0,3.0,0.0,11.0,0.7,4.15,1440.0,0.0,0.436326389
6.571851949860325,0.0,1.0,1.0,0.0,4.0,0.8,4.15,6600.0,0.0,0.9880246909999999
6.571655961768491,0.0,1.0,1.0,0.0,11.0,0.75,2.9,5640.0,0.0,0.987880435
6.528281280867338,0.0,1.0,1.0,0.0,9.0,0.8,4.15,960.0,0.0,0.9562708329999999
6.512991984818471,0.0,1.0,1.0,0.0,3.0,0.75,3.94,1560.0,0.0,0.945277778
6.453045193445425,0.0,1.0,1.0,0.0,1.0,0.8,3.94,960.0,0.0,0.9029166670000001
5.271137256693247,7.0710678118654755,0.0,1.0,0.0,1.0,0.8,28.08,6300.0,0.0,0.800725314
5.4968982034849665,7.0710678118654755,0.0,1.0,0.0,3.0,0.8,28.08,6540.0,0.0,0.8003229359999999
5.959073905325341,7.0710678118654755,0.0,1.0,0.0,8.0,0.8,26.16,7080.0,0.0,0.8003186440000001
5.3899608618864665,7.937253933193772,0.0,1.0,0.0,12.0,0.8,26.16,7080.0,0.0,0.8003186440000001
5.630429376903214,7.0710678118654755,0.0,1.0,0.0,11.0,0.8,11.61,7080.0,0.0,0.8002372879999999
5.066655238516518,7.0710678118654755,0.0,1.0,0.0,5.0,0.8,11.61,7080.0,0.0,0.800148649
5.825901260487881,7.0710678118654755,0.0,1.0,0.0,6.0,0.8,25.9,6720.0,0.0,0.800125
5.808119797909303,6.164414002968976,0.0,1.0,0.0,7.0,0.8,25.9,6720.0,0.0,0.800125
4.96972615648558,7.483314773547883,0.0,1.0,0.0,10.0,0.75,19.31,6480.0,0.0,0.787299691
6.272759545577045,0.0,1.0,1.0,0.0,2.0,0.8,4.15,960.0,0.0,0.782447917
5.542976004952072,6.708203932499369,0.0,1.0,0.0,2.0,0.75,19.87,6600.0,0.0,0.75024303
6.142799737412022,0.0,1.0,1.0,0.0,10.0,0.7,4.15,960.0,0.0,0.7018125
4.829472805532836,0.0,0.0,1.0,0.0,4.0,0.7,23.69,13800.0,0.0,0.700134038
5.72201110515261,6.324555320336759,0.0,1.0,0.0,9.0,0.7,28.08,6900.0,0.0,0.699965217
6.016734185020056,0.0,1.0,1.0,0.0,8.0,0.8,2.9,960.0,0.0,0.6283333329999999
6.011379132066799,0.0,1.0,1.0,0.0,7.0,0.8,3.94,960.0,0.0,0.6253125
6.420212221078062,0.0,1.0,2.0,0.0,3.0,0.75,4.15,1560.0,0.0,0.9913888890000001
6.331331469814435,0.0,1.0,2.0,0.0,9.0,0.8,3.94,960.0,0.0,0.9316458329999999
6.306240235633532,0.0,1.0,2.0,0.0,1.0,0.8,3.94,960.0,0.0,0.915229167
4.8183372165600655,7.0710678118654755,0.0,2.0,0.0,6.0,0.8,11.61,6975.0,0.0,0.879714482
6.222240947304397,0.0,1.0,2.0,0.0,4.0,0.8,3.94,6600.0,0.0,0.8616790120000001
5.979057272132368,7.745966692414834,0.0,2.0,0.0,9.0,0.8,26.16,7080.0,0.0,0.850569492
5.918493032544179,7.745966692414834,0.0,2.0,0.0,7.0,0.8,25.9,7020.0,0.0,0.850436438
5.677457434677287,6.708203932499369,0.0,2.0,0.0,8.0,0.8,25.9,6780.0,0.0,0.8503451329999999
5.44344236490643,7.0710678118654755,0.0,2.0,0.0,4.0,0.8,28.08,4260.0,0.0,0.800598058
5.66924310291739,7.937253933193772,0.0,2.0,0.0,1.0,0.8,26.16,7080.0,0.0,0.8003186440000001
5.288124706190194,7.0710678118654755,0.0,2.0,0.0,2.0,0.8,28.08,6660.0,0.0,0.8002378379999999
5.905183447474379,7.0710678118654755,0.0,2.0,0.0,12.0,0.8,11.61,6975.0,0.0,0.800030199
6.1077540524716225,0.0,1.0,2.0,0.0,2.0,0.8,3.94,960.0,0.0,0.7921041670000001
6.051339297730759,0.0,1.0,2.0,0.0,10.0,0.7,3.94,4320.0,0.0,0.759228395
4.759149430918539,6.708203932499369,0.0,2.0,0.0,11.0,0.75,19.31,6480.0,0.0,0.7503484570000001
5.205039324374805,6.708203932499369,0.0,2.0,0.0,3.0,0.75,19.87,6600.0,0.0,0.75024303
5.88811274065973,6.324555320336759,0.0,2.0,0.0,10.0,0.7,28.08,6900.0,0.0,0.699965217
